Stock Information for Ticker: FB
High         2.020886e+02
Low          1.974644e+02
Open         1.997521e+02
Close        1.998744e+02
Volume       2.030946e+07
Adj Close    1.998744e+02


              High          Low         Open        Close        Volume    Adj Close
count  1258.000000  1258.000000  1258.000000  1258.000000  1.258000e+03  1258.000000
mean    202.088649   197.464440   199.752122   199.874404  2.030946e+07   199.874404
std      61.474315    59.930320    60.630514    60.743177  1.239795e+07    60.743177
min     116.480003   113.550003   114.480003   115.050003  5.324760e+06   115.050003
25%     162.105000   157.687504   159.745003   159.700001  1.320985e+07   159.700001
50%     183.754997   179.930000   181.830002   181.744995  1.719975e+07   181.744995
75%     233.390003   227.282501   230.212502   231.397495  2.311872e+07   231.397495
max     384.329987   378.809998   381.500000   382.179993  1.698037e+08   382.179993


             ds       trend  yhat_lower  yhat_upper  trend_lower  trend_upper  additive_terms  additive_terms_lower  additive_terms_upper    weekly  weekly_lower  weekly_upper     yearly  yearly_lower  yearly_upper  multiplicative_terms  multiplicative_terms_lower  multiplicative_terms_upper        yhat
92   2017-01-24  137.225089  119.936012  147.912756   137.225089   137.225089       -4.337215             -4.337215             -4.337215 -1.300205     -1.300205     -1.300205  -3.037010     -3.037010     -3.037010                   0.0                         0.0                         0.0  132.887873
93   2017-01-25  137.349081  118.502988  146.842328   137.349081   137.349081       -4.370131             -4.370131             -4.370131 -1.362021     -1.362021     -1.362021  -3.008111     -3.008111     -3.008111                   0.0                         0.0                         0.0  132.978949
94   2017-01-26  137.473073  119.046901  147.661103   137.473073   137.473073       -4.413918             -4.413918             -4.413918 -1.404170     -1.404170     -1.404170  -3.009747     -3.009747     -3.009747                   0.0                         0.0                         0.0  133.059155
95   2017-01-27  137.597065  118.820364  147.158877   137.597065   137.597065       -4.481247             -4.481247             -4.481247 -1.440414     -1.440414     -1.440414  -3.040833     -3.040833     -3.040833                   0.0                         0.0                         0.0  133.115818
96   2017-01-30  137.969040  119.556660  147.238950   137.969040   137.969040       -5.090157             -5.090157             -5.090157 -1.796236     -1.796236     -1.796236  -3.293921     -3.293921     -3.293921                   0.0                         0.0                         0.0  132.878884
97   2017-01-31  138.093032  118.899457  147.372339   138.093032   138.093032       -4.724642             -4.724642             -4.724642 -1.300205     -1.300205     -1.300205  -3.424437     -3.424437     -3.424437                   0.0                         0.0                         0.0  133.368390
98   2017-02-01  138.217024  119.791528  146.830045   138.217024   138.217024       -4.936017             -4.936017             -4.936017 -1.362021     -1.362021     -1.362021  -3.573996     -3.573996     -3.573996                   0.0                         0.0                         0.0  133.281008
99   2017-02-02  138.341016  118.283089  147.611970   138.341016   138.341016       -5.144239             -5.144239             -5.144239 -1.404170     -1.404170     -1.404170  -3.740069     -3.740069     -3.740069                   0.0                         0.0                         0.0  133.196778
100  2017-02-03  138.465008  119.386012  147.124027   138.465008   138.465008       -5.360583             -5.360583             -5.360583 -1.440414     -1.440414     -1.440414  -3.920169     -3.920169     -3.920169                   0.0                         0.0                         0.0  133.104426
101  2017-02-06  138.836984  118.468891  145.148936   138.836984   138.836984       -6.318270             -6.318270             -6.318270 -1.796236     -1.796236     -1.796236  -4.522034     -4.522034     -4.522034                   0.0                         0.0                         0.0  132.518714
