Stock Information for Ticker: TSLA
High         1.964112e+02
Low          1.878469e+02
Open         1.922876e+02
Close        1.923936e+02
Volume       4.441423e+07
Adj Close    1.923936e+02


              High          Low         Open        Close        Volume    Adj Close
count  1258.000000  1258.000000  1258.000000  1258.000000  1.258000e+03  1258.000000
mean    196.411180   187.846851   192.287628   192.393562  4.441423e+07   192.393562
std     240.219441   229.904260   235.359001   235.411583  3.034186e+07   235.411583
min      36.945999    35.397999    36.220001    35.793999  9.387500e+06    35.793999
25%      56.757999    54.983500    55.746999    55.819499  2.474150e+07    55.819499
50%      68.577000    66.043999    67.264000    67.103001  3.496850e+07    67.103001
75%     196.346500   182.348003   187.176498   189.521496  5.211238e+07   189.521496
max     900.400024   871.599976   891.380005   883.090027  3.046940e+08   883.090027


             ds        trend   yhat_lower   yhat_upper  trend_lower  trend_upper  additive_terms  additive_terms_lower  additive_terms_upper    weekly  weekly_lower  weekly_upper     yearly  yearly_lower  yearly_upper  multiplicative_terms  multiplicative_terms_lower  multiplicative_terms_upper         yhat
59   2016-12-02    37.537975    -9.182387   105.835098    37.537975    37.537975       13.584099             13.584099             13.584099 -4.229679     -4.229679     -4.229679  17.813778     17.813778     17.813778                   0.0                         0.0                         0.0    51.122074
60   2016-12-05    38.075426    -2.974497   109.585552    38.075426    38.075426       18.080022             18.080022             18.080022 -2.244307     -2.244307     -2.244307  20.324329     20.324329     20.324329                   0.0                         0.0                         0.0    56.155447
61   2016-12-06    38.254576    -5.054977   118.228093    38.254576    38.254576       18.038514             18.038514             18.038514 -2.851961     -2.851961     -2.851961  20.890475     20.890475     20.890475                   0.0                         0.0                         0.0    56.293090
62   2016-12-07    38.433726    -5.172415   115.560705    38.433726    38.433726       18.050295             18.050295             18.050295 -3.286707     -3.286707     -3.286707  21.337002     21.337002     21.337002                   0.0                         0.0                         0.0    56.484021
63   2016-12-08    38.612876    -1.326376   116.099910    38.612876    38.612876       18.009250             18.009250             18.009250 -3.668538     -3.668538     -3.668538  21.677789     21.677789     21.677789                   0.0                         0.0                         0.0    56.622127
64   2016-12-09    38.792027    -3.281952   113.185816    38.792027    38.792027       17.699531             17.699531             17.699531 -4.229679     -4.229679     -4.229679  21.929210     21.929210     21.929210                   0.0                         0.0                         0.0    56.491558
65   2016-12-12    39.329478     2.146689   117.661041    39.329478    39.329478       20.095190             20.095190             20.095190 -2.244307     -2.244307     -2.244307  22.339497     22.339497     22.339497                   0.0                         0.0                         0.0    59.424668
66   2016-12-13    39.508628    -0.358334   114.311667    39.508628    39.508628       19.579828             19.579828             19.579828 -2.851961     -2.851961     -2.851961  22.431789     22.431789     22.431789                   0.0                         0.0                         0.0    59.088456
67   2016-12-14    39.687778    -1.352878   117.379506    39.687778    39.687778       19.251485             19.251485             19.251485 -3.286707     -3.286707     -3.286707  22.538192     22.538192     22.538192                   0.0                         0.0                         0.0    58.939263
68   2016-12-15    39.866929    -2.178957   117.258634    39.866929    39.866929       19.011622             19.011622             19.011622 -3.668538     -3.668538     -3.668538  22.680161     22.680161     22.680161                   0.0                         0.0                         0.0    58.878551
